scenario,a_kind,b_kind,configure,build,run
cmake_lib_kinds,STATIC,STATIC,ok,ok,ok
cmake_lib_kinds,STATIC,SHARED,fail,skip,skip
cmake_lib_kinds,STATIC,OBJECT,fail,skip,skip
cmake_lib_kinds,SHARED,STATIC,fail,skip,skip
cmake_lib_kinds,SHARED,SHARED,fail,skip,skip
cmake_lib_kinds,SHARED,OBJECT,fail,skip,skip
cmake_lib_kinds,OBJECT,STATIC,fail,skip,skip
cmake_lib_kinds,OBJECT,SHARED,fail,skip,skip
cmake_lib_kinds,OBJECT,OBJECT,fail,skip,skip
missing_dep-one_source,STATIC,STATIC,ok,ok,ok
missing_dep-one_source,STATIC,SHARED,ok,ok,ok
missing_dep-one_source,STATIC,OBJECT,ok,ok,ok
missing_dep-one_source,SHARED,STATIC,ok,ok,ok
missing_dep-one_source,SHARED,SHARED,ok,ok,ok
missing_dep-one_source,SHARED,OBJECT,ok,ok,ok
missing_dep-one_source,OBJECT,STATIC,ok,ok,ok
missing_dep-one_source,OBJECT,SHARED,ok,ok,ok
missing_dep-one_source,OBJECT,OBJECT,ok,ok,ok
missing_dep-multi_source,STATIC,STATIC,ok,fail,skip
missing_dep-multi_source,STATIC,SHARED,ok,fail,skip
missing_dep-multi_source,STATIC,OBJECT,ok,ok,ok
missing_dep-multi_source,SHARED,STATIC,ok,ok,ok
missing_dep-multi_source,SHARED,SHARED,ok,ok,ok
missing_dep-multi_source,SHARED,OBJECT,ok,ok,ok
missing_dep-multi_source,OBJECT,STATIC,ok,ok,ok
missing_dep-multi_source,OBJECT,SHARED,ok,ok,ok
missing_dep-multi_source,OBJECT,OBJECT,ok,ok,ok
